28/02/2024 10:16:19 - 0055:	 - train_loss: 0.500748:	 - test_loss: 0.624332:	 mIoU 0.5244
28/02/2024 10:16:50 - 0056:	 - train_loss: 0.496075:	 - test_loss: 0.650563:	 mIoU 0.4980
28/02/2024 10:17:21 - 0057:	 - train_loss: 0.499601:	 - test_loss: 0.624571:	 mIoU 0.5221
28/02/2024 10:17:52 - 0058:	 - train_loss: 0.498640:	 - test_loss: 0.622732:	 mIoU 0.5261
28/02/2024 10:18:22 - 0059:	 - train_loss: 0.498929:	 - test_loss: 0.630729:	 mIoU 0.5240
28/02/2024 10:18:53 - 0060:	 - train_loss: 0.519402:	 - test_loss: 0.626998:	 mIoU 0.5165
28/02/2024 10:19:24 - 0061:	 - train_loss: 0.497703:	 - test_loss: 0.618312:	 mIoU 0.5279
28/02/2024 10:19:54 - 0062:	 - train_loss: 0.500792:	 - test_loss: 0.617024:	 mIoU 0.5292
28/02/2024 10:20:25 - 0063:	 - train_loss: 0.495696:	 - test_loss: 0.618700:	 mIoU 0.5269
28/02/2024 10:20:56 - 0064:	 - train_loss: 0.488924:	 - test_loss: 0.620569:	 mIoU 0.5209
28/02/2024 10:21:27 - 0065:	 - train_loss: 0.499328:	 - test_loss: 0.625660:	 mIoU 0.5140
28/02/2024 10:21:57 - 0066:	 - train_loss: 0.493721:	 - test_loss: 0.622820:	 mIoU 0.5246
28/02/2024 10:22:28 - 0067:	 - train_loss: 0.493639:	 - test_loss: 0.618742:	 mIoU 0.5288
28/02/2024 10:22:59 - 0068:	 - train_loss: 0.487896:	 - test_loss: 0.618577:	 mIoU 0.5304
28/02/2024 10:23:29 - 0069:	 - train_loss: 0.489840:	 - test_loss: 0.620125:	 mIoU 0.5136
28/02/2024 10:24:00 - 0070:	 - train_loss: 0.487210:	 - test_loss: 0.621216:	 mIoU 0.5238
28/02/2024 10:24:31 - 0071:	 - train_loss: 0.490355:	 - test_loss: 0.620935:	 mIoU 0.5277
28/02/2024 10:25:02 - 0072:	 - train_loss: 0.483622:	 - test_loss: 0.624663:	 mIoU 0.5077
28/02/2024 10:25:32 - 0073:	 - train_loss: 0.493468:	 - test_loss: 0.618419:	 mIoU 0.5279
28/02/2024 10:26:03 - 0074:	 - train_loss: 0.496695:	 - test_loss: 0.626580:	 mIoU 0.5243
28/02/2024 10:26:34 - 0075:	 - train_loss: 0.483698:	 - test_loss: 0.618070:	 mIoU 0.5310
28/02/2024 10:27:05 - 0076:	 - train_loss: 0.488856:	 - test_loss: 0.617332:	 mIoU 0.5288
28/02/2024 10:27:35 - 0077:	 - train_loss: 0.496052:	 - test_loss: 0.611955:	 mIoU 0.5308
28/02/2024 10:28:06 - 0078:	 - train_loss: 0.485834:	 - test_loss: 0.620373:	 mIoU 0.5283
28/02/2024 10:28:37 - 0079:	 - train_loss: 0.485268:	 - test_loss: 0.608754:	 mIoU 0.5348
28/02/2024 10:29:08 - 0080:	 - train_loss: 0.503942:	 - test_loss: 0.619641:	 mIoU 0.5223
